case,cores,upper,lower,certified,domain,gap,applicability
017,5,28510,22161,1,global,0.2864942917738369,at most one eligible producer per original tensor
018,1,971704,971373,1,global,0.00034075478729600484,at most one eligible producer per original tensor
018,2,488869,485713,1,global,0.00649766425852305,at most one eligible producer per original tensor
018,3,328555,323827,1,global,0.014600388479033555,at most one eligible producer per original tensor
018,4,248834,242883,1,global,0.02450150895698755,at most one eligible producer per original tensor
018,5,196504,194317,1,global,0.011254805292383097,at most one eligible producer per original tensor
019,1,51676,48493,1,global,0.06563833955416243,at most one eligible producer per original tensor
019,2,26298,24275,1,global,0.08333676622039143,at most one eligible producer per original tensor
019,3,19189,16203,1,global,0.18428686045793996,at most one eligible producer per original tensor
019,4,17874,12234,1,global,0.4610102991662579,at most one eligible producer per original tensor
019,5,16247,12234,1,global,0.328020271374857,at most one eligible producer per original tensor
020,1,532746,532608,1,global,0.00025910237923576496,at most one eligible producer per original tensor
020,2,266828,266304,1,global,0.001967676039413613,at most one eligible producer per original tensor
020,3,180314,177536,1,global,0.01564753064167257,at most one eligible producer per original tensor
020,4,146116,133152,1,global,0.09736241288151892,at most one eligible producer per original tensor
020,5,110112,106552,1,global,0.03341091673549057,at most one eligible producer per original tensor
021,1,6560801,6192816,1,global,0.05942127135700459,at most one eligible producer per original tensor
021,2,3253018,3096816,1,global,0.05043954823276553,at most one eligible producer per original tensor
021,3,2170286,2065032,1,global,0.050969670203657946,at most one eligible producer per original tensor
021,4,1605196,1548816,1,global,0.03640199997933902,at most one eligible producer per original tensor
021,5,1272517,1239216,1,global,0.02687263560186448,at most one eligible producer per original tensor
022,1,54123,54087,1,global,0.0006655943202618086,at most one eligible producer per original tensor
022,2,27951,27044,1,global,0.0335379381748262,at most one eligible producer per original tensor
022,3,19220,18029,1,global,0.06606023628598368,at most one eligible producer per original tensor
022,4,15012,13522,1,global,0.1101908001774885,at most one eligible producer per original tensor
022,5,12863,10818,1,global,0.18903679053429467,at most one eligible producer per original tensor
023,1,78981,69558,1,global,0.13546967997929782,at most one eligible producer per original tensor
023,2,38173,34779,1,global,0.0975876247160643,at most one eligible producer per original tensor
023,3,27272,23186,1,global,0.17622703355473135,at most one eligible producer per original tensor
023,4,24256,17390,1,global,0.39482461184588846,at most one eligible producer per original tensor
023,5,19530,13912,1,global,0.40382403680276013,at most one eligible producer per original tensor
024,1,2555343,2554795,1,global,0.00021449861926292613,at most one eligible producer per original tensor
024,2,1334233,1277404,1,global,0.04448788323819253,at most one eligible producer per original tensor
024,3,957207,851612,1,global,0.12399426029694283,at most one eligible producer per original tensor
024,4,748761,638715,1,global,0.17229280665085356,at most one eligible producer per original tensor
024,5,695607,510980,1,global,0.36131942541782447,at most one eligible producer per original tensor
025,1,4703066,4702860,1,global,4.380313256180379e-05,at most one eligible producer per original tensor
025,2,2351860,2351448,1,global,0.0001752111890205299,at most one eligible producer per original tensor
025,3,1568824,1567644,1,global,0.0007527219190071044,at most one eligible producer per original tensor
025,4,1177396,1176000,1,global,0.0011870748299320777,at most one eligible producer per original tensor
025,5,942938,940800,1,global,0.0022725340136053873,at most one eligible producer per original tensor
026,1,74116,70768,1,global,0.047309518426407404,at most one eligible producer per original tensor
026,2,39853,35384,1,global,0.1263000226090889,at most one eligible producer per original tensor
026,3,32073,23590,1,global,0.3596015260703689,at most one eligible producer per original tensor
026,4,26189,17692,1,global,0.48027356997512993,at most one eligible producer per original tensor
026,5,28682,14154,1,global,1.0264236258301542,at most one eligible producer per original tensor
027,1,2363952,2229528,1,global,0.060292582107064785,at most one eligible producer per original tensor
027,2,1120962,1114968,1,global,0.0053759390404028995,at most one eligible producer per original tensor
027,3,837049,743448,1,global,0.12590120627131962,at most one eligible producer per original tensor
027,4,559196,557688,1,global,0.0027040208862303405,at most one eligible producer per original tensor
027,5,558753,446232,1,global,0.25215807024148873,at most one eligible producer per original tensor
028,1,40375049,38975424,1,global,0.03591044962076606,at most one eligible producer per original tensor
028,2,19839080,19488120,1,global,0.018008920306319842,at most one eligible producer per original tensor
028,3,13235109,12992352,1,global,0.018684607683043142,at most one eligible producer per original tensor
028,4,10010954,9744468,1,global,0.02734741393783624,at most one eligible producer per original tensor
028,5,8089360,7795738,1,global,0.03766442638272349,at most one eligible producer per original tensor
029,1,37555,37485,1,global,0.0018674136321195078,at most one eligible producer per original tensor
029,2,18880,18743,1,global,0.007309395507656191,at most one eligible producer per original tensor
029,3,13806,12495,1,global,0.10492196878751492,at most one eligible producer per original tensor
029,4,13093,9372,1,global,0.3970337174562526,at most one eligible producer per original tensor
029,5,11624,7497,1,global,0.5504868614112313,at most one eligible producer per original tensor
030,1,2820990,2776798,1,global,0.01591473344478067,at most one eligible producer per original tensor
030,2,1394113,1388558,1,global,0.0040005530917686105,at most one eligible producer per original tensor
030,3,931517,925812,1,global,0.006162158191943989,at most one eligible producer per original tensor
030,4,696338,694438,1,global,0.0027360253903156995,at most one eligible producer per original tensor
030,5,558860,555614,1,global,0.005842185402095801,at most one eligible producer per original tensor
031,1,1344175,1334533,1,global,0.007224999306873592,at most one eligible producer per original tensor
031,2,690973,667287,1,global,0.03549597099898549,at most one eligible producer per original tensor
031,3,479195,444872,1,global,0.07715252926684535,at most one eligible producer per original tensor
031,4,357742,333664,1,global,0.07216241488443464,at most one eligible producer per original tensor
031,5,309598,266940,1,global,0.15980370120626364,at most one eligible producer per original tensor
032,1,34103,33995,1,global,0.0031769377849684144,at most one eligible producer per original tensor
032,2,17758,16998,1,global,0.04471114248735142,at most one eligible producer per original tensor
032,3,13715,11332,1,global,0.21028944581715492,at most one eligible producer per original tensor
032,4,11239,8499,1,global,0.3223908695140605,at most one eligible producer per original tensor
032,5,10714,6799,1,global,0.5758199735255185,at most one eligible producer per original tensor
033,1,1741213,1728177,1,global,0.007543208826410686,at most one eligible producer per original tensor
033,2,871884,864123,1,global,0.00898136029245844,at most one eligible producer per original tensor
033,3,582998,576105,1,global,0.011964832799576497,at most one eligible producer per original tensor
033,4,441108,432096,1,global,0.020856476338591445,at most one eligible producer per original tensor
033,5,352730,345739,1,global,0.020220455314558183,at most one eligible producer per original tensor
034,1,755680,749233,1,global,0.008604799841971822,at most one eligible producer per original tensor
034,2,388399,374653,1,global,0.03668995043413514,at most one eligible producer per original tensor
034,3,262726,249793,1,global,0.051774869592022155,at most one eligible producer per original tensor
034,4,193847,187363,1,global,0.03460661923645536,at most one eligible producer per original tensor
034,5,164609,149905,1,global,0.09808878956672551,at most one eligible producer per original tensor
035,1,144188,143909,1,global,0.0019387251665983207,at most one eligible producer per original tensor
035,2,74267,71955,1,global,0.0321311931068029,at most one eligible producer per original tensor
035,3,51825,47970,1,global,0.0803627267041902,at most one eligible producer per original tensor
035,4,44023,35978,1,global,0.22360887208849856,at most one eligible producer per original tensor
035,5,43168,28782,1,global,0.49982628031408516,at most one eligible producer per original tensor
036,1,931510,931352,1,global,0.00016964584818635053,at most one eligible producer per original tensor
036,2,466068,465752,1,global,0.0006784726635633564,at most one eligible producer per original tensor
036,3,311345,310788,1,global,0.0017922184897742888,at most one eligible producer per original tensor
036,4,233584,232952,1,global,0.002713005254301404,at most one eligible producer per original tensor
036,5,187182,186392,1,global,0.00423837932958504,at most one eligible producer per original tensor
037,1,210533,209828,1,global,0.0033598947709552185,at most one eligible producer per original tensor
037,2,105906,105028,1,global,0.00835967551510075,at most one eligible producer per original tensor
037,3,74570,70216,1,global,0.062008658995100774,at most one eligible producer per original tensor
037,4,57428,52628,1,global,0.09120620202173746,at most one eligible producer per original tensor
037,5,46194,42148,1,global,0.09599506500901578,at most one eligible producer per original tensor
038,1,1329688,1325041,1,global,0.0035070612909335885,at most one eligible producer per original tensor
038,2,666070,662541,1,global,0.005326462815131494,at most one eligible producer per original tensor
038,3,445815,441708,1,global,0.009297997772284017,at most one eligible producer per original tensor
038,4,336414,331291,1,global,0.015463746374033693,at most one eligible producer per original tensor
038,5,270889,265041,1,global,0.02206451077380489,at most one eligible producer per original tensor
039,1,1425374,1377994,1,global,0.03438331371544434,at most one eligible producer per original tensor
039,2,710818,689054,1,global,0.0315853329347191,at most one eligible producer per original tensor
039,3,487917,459466,1,global,0.06192188322966219,at most one eligible producer per original tensor
039,4,409739,344584,1,global,0.18908306827943266,at most one eligible producer per original tensor
039,5,449653,275690,1,global,0.6310094671551381,at most one eligible producer per original tensor
040,1,189623,185751,1,global,0.020845109851360233,at most one eligible producer per original tensor
040,2,100596,92876,1,global,0.08312158146345672,at most one eligible producer per original tensor
040,3,70548,61917,1,global,0.13939628857987296,at most one eligible producer per original tensor
040,4,63489,46438,1,global,0.36717774236616574,at most one eligible producer per original tensor
040,5,59117,37151,1,global,0.5912626847191194,at most one eligible producer per original tensor
041,1,5919556,5895481,1,global,0.004083636263097157,at most one eligible producer per original tensor
041,2,2974004,2947861,1,global,0.008868464286477584,at most one eligible producer per original tensor
041,3,1994157,1965600,1,global,0.014528388278388205,at most one eligible producer per original tensor
041,4,1498613,1474200,1,global,0.016560168226834815,at most one eligible producer per original tensor
041,5,1204582,1179360,1,global,0.021386175552842168,at most one eligible producer per original tensor
042,1,1600513,1599150,1,global,0.0008523277991432376,at most one eligible producer per original tensor
042,2,802463,799612,1,global,0.0035654792574397742,at most one eligible producer per original tensor
042,3,537381,533100,1,global,0.00803038829487912,at most one eligible producer per original tensor
042,4,407648,399843,1,global,0.01952016166345283,at most one eligible producer per original tensor
042,5,336550,319890,1,global,0.052080402638406964,at most one eligible producer per original tensor
043,1,523799,517819,1,global,0.011548436809000862,at most one eligible producer per original tensor
043,2,271046,258943,1,global,0.04674001614254886,at most one eligible producer per original tensor
043,3,204584,172651,1,global,0.1849569362471113,at most one eligible producer per original tensor
043,4,167862,129505,1,global,0.29618161460947445,at most one eligible producer per original tensor
043,5,149013,103618,1,global,0.43809955799185474,at most one eligible producer per original tensor
044,1,74523,74448,1,global,0.001007414571244425,at most one eligible producer per original tensor
044,2,43795,37246,1,global,0.17583096171400947,at most one eligible producer per original tensor
044,3,43795,24846,1,global,0.7626579731143845,at most one eligible producer per original tensor
044,4,43795,18645,1,global,1.3488871010994905,at most one eligible producer per original tensor
044,5,43795,14925,1,global,1.9343383584589615,at most one eligible producer per original tensor
045,1,125614,125476,1,global,0.0010998119162231035,at most one eligible producer per original tensor
045,2,63245,62776,1,global,0.007471008028545834,at most one eligible producer per original tensor
045,3,42994,41876,1,global,0.02669786990161427,at most one eligible producer per original tensor
045,4,33079,31388,1,global,0.05387409200968518,at most one eligible producer per original tensor
045,5,29103,25156,1,global,0.15690093814596917,at most one eligible producer per original tensor
046,1,209667,209388,1,global,0.001332454581924436,at most one eligible producer per original tensor
046,2,105322,104764,1,global,0.005326257111221366,at most one eligible producer per original tensor
046,3,79308,69890,1,global,0.1347546143940479,at most one eligible producer per original tensor
046,4,77846,52452,1,global,0.48413787844124156,at most one eligible producer per original tensor
046,5,77846,41990,1,global,0.8539175994284354,at most one eligible producer per original tensor
047,1,275911,259370,1,global,0.06377375949415898,at most one eligible producer per original tensor
047,2,145662,129753,1,global,0.12260988185244281,at most one eligible producer per original tensor
047,3,107851,86610,1,global,0.24524881653388753,at most one eligible producer per original tensor
047,4,104047,65039,1,global,0.599763218991682,at most one eligible producer per original tensor
047,5,100166,52157,1,global,0.9204708859788715,at most one eligible producer per original tensor
048,1,152582,139616,1,global,0.09286901214760479,at most one eligible producer per original tensor
048,2,106510,76794,1,global,0.38695731437351877,at most one eligible producer per original tensor
048,3,95762,75960,1,global,0.2606898367561874,at most one eligible producer per original tensor
048,4,95148,75960,1,global,0.25260663507109005,at most one eligible producer per original tensor
048,5,95213,75960,1,global,0.25346234860452865,at most one eligible producer per original tensor
049,1,166132,165715,1,global,0.0025163684639291084,at most one eligible producer per original tensor
049,2,85275,82858,1,global,0.029170387892539118,at most one eligible producer per original tensor
049,3,61553,55239,1,global,0.1143033002045657,at most one eligible producer per original tensor
049,4,55135,41429,1,global,0.3308310603683411,at most one eligible producer per original tensor
049,5,47658,33143,1,global,0.43795069848836854,at most one eligible producer per original tensor
