case,cores,status,selected,makespan_cycles,bounded_makespan_cycles,bounded_over_new,ddr_bytes,extra_ddr_bytes,spill_bytes,solver_wall_seconds,evaluation_wall_seconds,bounded_ddr_bytes,bounded_extra_ddr_bytes,bounded_spill_bytes
049,5,ok,heavy-suffix,62114,160260,2.5800946646488714,745780,593240,0,0.13265141600277275,0.45323724998161197,152540,0,0
088,5,ok,heavy-suffix,92700,202791,2.1876051779935275,3858952,2029154,0,0.12988879100885242,0.45440933300415054,2050982,221184,0
