case_id,cores,old_makespan_cycles,new_makespan_cycles,drop_percent,speedup_same_core,lower_bound_cycles,solver_wall_seconds,E0,added_copy_bytes,spill_added_copy_bytes,cache_hit_rate_bytes
051,4,607628,178800,70.57410125932314,3.3983668903803133,176284,0.17883083401829936,1,852,0,0.00023371489830861545
024,4,2555343,746444,70.78889213698514,3.4233552684461257,743466,0.7109897499904037,1,3624,0,0.0010125864495681319
016,4,7715523,2250332,70.83370757886406,3.428615422079942,2246130,3.335013500007335,1,10968,0,0.003049912214697768
