case_id,cores,graph_sha256,compute_ops,critical_path_cycles,max_op_cycles,pipe_work_lower_cycles,M_work_cycles,V_work_cycles,lower_bound_cycles,official_baseline_cycles,speedup_upper,speedup_upper_exact,snapshot_best_cycles,snapshot_best_speedup,single_solver_cycles,single_solver_speedup,relaxed_headroom_speedup,relaxed_mean_contribution_div100,best_algorithm,best_solver_commit,best_record_id,best_result_sha256,single_solver_record_id,baseline_result_sha256
003,1,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,28285,2060,438792,438792,325189,438792,602212,1.3724315848967164,150553/109698,567727,1.0607422229346146,567727,1.0607422229346146,0.31168936196210173,0.0031168936196210176,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,1d27917c62cd7ef49f8df6a9752b24db4e4e6b82ebe6e5273b6c94fdff3785c9,c5c23a13bfa4daccda8c7b5e086cef7636b1fb4f9a3019dd0256fe3c87dc6f12,1d27917c62cd7ef49f8df6a9752b24db4e4e6b82ebe6e5273b6c94fdff3785c9,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,2,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,28285,2060,219396,438792,325189,219396,602212,2.7448631697934327,150553/54849,511949,1.176312484251361,511949,1.176312484251361,1.5685506855420719,0.01568550685542072,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,77ea5ebe03bb8493a098c5e38faa6d84f006f3296018eb54cd8f9b465463abce,c1f4aa7fdd808b5f6854faef82ec6cab591f2e5e65f7a6432ad9a115cc12b3fb,77ea5ebe03bb8493a098c5e38faa6d84f006f3296018eb54cd8f9b465463abce,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,3,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,28285,2060,146264,438792,325189,146264,602212,4.11729475469015,150553/36566,513160,1.1735365188245381,513160,1.1735365188245381,2.9437582358656114,0.029437582358656112,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,502a9722fb301c5e104e2ddcb5b3f288590fd19c06ff25e7b879a9a250380914,f87d03835e0c1b20dafc2c374bae5f3c9024c5e0ebf772d54c11d3f977c747ad,b6d58127b90de05435e57acb88e8bd725663ce1cba42a1467735804caa67c0f4,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,4,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,28285,2060,109698,438792,325189,109698,602212,5.489726339586865,301106/54849,514379,1.1707554157537536,514379,1.1707554157537536,4.318970923833112,0.043189709238331125,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,24ffe3b42f54a896d22be3c4127610f50a1e09ff4787d76d9fa095be4f966154,7ef1c282e01c8afca22c3c04a047d5549617e1d132a3c48db50613d2d281daba,e368c14d769209e448770a58cc7a416a0827781549cb47a8035f462218dc3b5c,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,5,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,13455,28285,2060,87759,438792,325189,87759,602212,6.862111008557527,602212/87759,515703,1.167749654355317,515703,1.167749654355317,5.69436135420221,0.0569436135420221,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,1e42a62b494d369f145676dd51cca4b2bec78b8a21b2e4e655180693c271c905,1e5ea66dba86ffe4e5f0c0a38d27e15eb4b308b1a57fb0144c13193003facb98,1e42a62b494d369f145676dd51cca4b2bec78b8a21b2e4e655180693c271c905,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
004,1,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,2748,1158,385614,385614,47952,385614,392357,1.0174863983154139,392357/385614,386363,1.01551390790526,386363,1.01551390790526,0.0019724904101537802,1.9724904101537803e-05,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,0b5ca62853e89fdc04e54b375b729559db276cbf880f49de0c60861bd04d848b,61904de558c9e71e478b15c8df9b994564ae94b727883bcacda677a616a6f7d2,1cae18899aba1593f6880404a3e7797f37ed528a52c3e0be0a076257bf7adb00,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,2,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,2748,1158,192807,385614,47952,192807,392357,2.0349727966308278,392357/192807,195960,2.0022300469483567,195960,2.0022300469483567,0.032742749682470915,0.0003274274968247091,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,61782ff5495ef34b6af01504f6b16d77fde62249359206669b0e639987aa00a3,9ec52181c552e18857bc34409162c940cc44a3c6f87ce7259b30ee2df90a2ec6,819a2367a96d463e68aef13972b7528d43dc3fae569870479e10a99f08541b87,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,3,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,2748,1158,128538,385614,47952,128538,392357,3.0524591949462416,392357/128538,130725,3.001392235609103,130725,3.001392235609103,0.0510669593371385,0.000510669593371385,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,34ad5c9a926c47b5e448aa3e79a83f77c4fd92024766bbd7e1557a80aa6a713e,8c008c2bf54264a0d0e03aaf158a43b7707d32b7705795d9e60ee842fbda80bb,34ad5c9a926c47b5e448aa3e79a83f77c4fd92024766bbd7e1557a80aa6a713e,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,4,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,2748,1158,96404,385614,47952,96404,392357,4.069924484461225,56051/13772,100126,3.9186325230209937,100126,3.9186325230209937,0.15129196144023213,0.0015129196144023213,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,2680a16bc02429d97651fe6c033b730d32508d86a88ed05893fa02f71fbff1f5,812a9a1b9fa1aafe7619b92f89cefc7b0438ba8b8d886ad80c78957dc71fb72a,593952064082e1b933f24c648c50efb12550aa76476b20f3ccd639be517f3aec,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,5,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,777,2748,1158,77123,385614,47952,77123,392357,5.087418798542588,392357/77123,83440,4.702265100671141,83440,4.702265100671141,0.3851536978714469,0.003851536978714469,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,2d62947c24992d5372497adb5dc1b1ef4b2a89117f4a77306b72c63be64b2a3d,7293b0db3e9a4fb31a318e2eb0de1429b43a8af56693f2a681d238be79cb94b7,2d62947c24992d5372497adb5dc1b1ef4b2a89117f4a77306b72c63be64b2a3d,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
