case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
086,2,56574,118403,2.0928871919963234,2167782,0,2.2164083999996365,4.109937999997783,results/a/q2-yuanzhifang/feedback-20260924/round13a/086-gap_packet/run.json,eb2b9a288c1b3c573487a8ec0dcabbcb8f3eac8d801ee0f595437458bc30e446,6c0da6e08f9d786af74acf59bb9b6823131485332d1ff722663e52e0375c359f
087,2,1872458,3974071,2.122381917244606,20991420,3244032,9.356076299998676,30.310687699999107,results/a/q2-yuanzhifang/feedback-20260924/round14f/087-gap_packet/run.json,af7a6a4550872c2e89e29a4a26a1917743feae467a208f63a609e9f2b57f7666,498a9a202dac5f37179a73874a5b95055d3683e39399989e9cfd5610a3d3f884
088,2,106593,243623,2.285544078879476,1910474,0,1.0730777999997372,2.5400585000024876,results/a/q2-yuanzhifang/feedback-20260924/round14f/088-gap_packet/run.json,57e754601ee0ea3ad1c114849ead0e7964a6e040c1854a2db9592a6cc75aac3a,ebea960d9502a44b9c62cef458ff6617c2929707f44b690cf73ed51cdb8e62a1
089,2,317712,693092,2.181510298635242,238720,0,2.3634039999997185,3.4094180000029155,results/a/q2-yuanzhifang/feedback-20260924/round14f/089-gap_packet/run.json,76fcd7ee001a2487be9d3495e15e446f069e0250dd1e5a1e173019f0f4ca7f30,35c4c4f561e79ab6fed52df7bfb0df47fcdc98363f336d93ffbf04fd987aeff0
090,2,467727,1178363,2.519339272695397,4804224,2008320,1.3703191000022343,1.4838314000007813,results/a/q2-yuanzhifang/feedback-20260924/round14f/090-gap_packet/run.json,9cd006f0ed1f0e26d056b1e7b422f721b86e5ef6b0864cf4bad29963a1cc7e17,5eb4ab55915489608504901eb6889a7a054e1963dc619a297f932a3cd1e06477
091,2,4510546,9186769,2.0367310299019232,54265384,25783296,11.739433000002464,25.56292410000242,results/a/q2-yuanzhifang/feedback-20260924/round14f/091-gap_packet/run.json,193edfe9a416cde43c9485e2b79ad27fa3681143a5ab31b7528c6bab24b4bd3b,10b1dd55ddf65e84702ad747f57f8694c5c04132b5f11a0eeadb4d05aa969153
092,2,1926496,4815554,2.4996439130940318,5927520,4997120,5.072411799999827,9.86725899999874,results/a/q2-yuanzhifang/feedback-20260924/round14f/092-gap_packet/run.json,f1bb2dbc808beb5581e25b71957b53d4b7a4f91d8a4a975f4f7825b9a9a35fdc,b4614f57748af1785449980f00036e12dc8150367afdc5824f310558574c6264
093,2,37827,74205,1.9616940280751844,8192,0,0.7595672999996168,0.8948082999995677,results/a/q2-yuanzhifang/feedback-20260924/round14f/093-gap_packet/run.json,2e6a7099a66b2ea63dea74f8892a7139efe56bc1dd990ad77a9588d5e886240c,1f99c8189c634968c3420573777c39619b0c6b105c19406200726186680be438
094,2,39329,94892,2.4127742886928223,928544,0,1.4240833999974711,0.9609463000015239,results/a/q2-yuanzhifang/feedback-20260924/round14f/094-gap_packet/run.json,8e2b1b5675144e3209a2917317774fb7dc7e5b293e9df3f1e66b33729cf7cc32,7ba2a60f987f0abe4196ad16c253a4b266538bfe1a113789425b215a5b0adb4d
095,2,1336318,2084853,1.5601473601343392,47038464,47038464,1.589348699999391,3.177167999998346,results/a/q2-yuanzhifang/feedback-20260924/round14f/095-gap_packet/run.json,231f0b0ba120d59b2f6035373b0daddca20309cbdb2e5e36d777bebab532af96,5b7ba0fb5bb708d261d144042555f3945e09e25e6e94b9f990141c2fc2f31203
