case_id,cores,B,U,L_safe_global,safe_global_max_makespan_reduction,safe_global_max_relative_speed_gain,safe_global_dominant,spill_bytes,mean_speedup_gap_contribution_cap,category,rank
036,2,931510,466068,465752,0.0006780126505144812,0.0006784726635633564,PIPE_M,0,1.3560340354541457e-05,closest,1
059,2,829473,369318,368972,0.0009368619996859007,0.0009377405331569832,PIPE_M,0,2.1061265718413934e-05,closest,2
020,2,532746,266580,266304,0.0010353364843573853,0.0010364095169430598,PIPE_V,0,2.071209485007719e-05,closest,3
013,2,263949,132198,131988,0.001588526301456894,0.0015910537321575102,PIPE_M,0,3.176727647538069e-05,closest,4
001,2,233110,116868,116552,0.002703905260635908,0.002711236186423216,PIPE_M,0,5.4079497160655073e-05,closest,5
071,2,18919,14501,6434,0.5563064616233363,1.2538078955548646,PIPE_M,0,0.016358038463555956,widest,1
064,2,19116,17551,7882,0.5509087801264885,1.2267191068256786,PIPE_V,0,0.013361040650720572,widest,2
069,2,25144,16769,8504,0.49287375514341936,0.97189557855127,PIPE_M,0,0.014572927680298841,widest,3
048,2,222220,147475,77428,0.4749754195626378,0.9046727282120164,PIPE_M,0,0.013631895145839925,widest,4
005,2,95618,60186,32018,0.4680158176320074,0.8797551377350241,PIPE_M,0,0.013976743222667651,widest,5
044,2,154407,64624,37246,0.4236506561029958,0.7350587982602159,PIPE_M,0,0.01756285959751256,largest_mean_cap_contribution,1
071,2,18919,14501,6434,0.5563064616233363,1.2538078955548646,PIPE_M,0,0.016358038463555956,largest_mean_cap_contribution,2
065,2,53068,26928,14759,0.4519087938205585,0.8245138559523002,PIPE_V,0,0.016248997811822884,largest_mean_cap_contribution,3
055,2,118835,64056,34525,0.46101848382665167,0.8553511947863868,PIPE_V,0,0.015868249536724156,largest_mean_cap_contribution,4
015,2,177362,92810,50749,0.45319469884710695,0.828804508463221,PIPE_V,114712,0.0158386407962562,largest_mean_cap_contribution,5
079,3,31052251,9819501,9808536,0.0011166555204791262,0.0011179038339665937,PIPE_M,0,3.5351521880997436e-05,closest,1
020,3,532746,177950,177536,0.0023264962067996997,0.0023319214131218846,PIPE_V,0,6.981297022506271e-05,closest,2
036,3,931510,311345,310552,0.0025470137628675893,0.002553517607357225,PIPE_M,0,7.639843859478467e-05,closest,3
013,3,263949,88351,88036,0.00356532467091486,0.0035780816938524307,PIPE_M,0,0.00010689534753547392,closest,4
076,3,6185113,2028575,2020650,0.003906683262881572,0.0039220052953257145,PIPE_M,17408,0.00011958170606553242,closest,5
064,3,19116,16262,5318,0.672979953265281,2.0579165099661525,PIPE_V,0,0.024190832618689567,widest,1
071,3,18919,12080,4360,0.6390728476821192,1.7706422018348622,PIPE_M,0,0.02773077799380278,widest,2
044,3,154407,64624,24846,0.6155298341173558,1.6009820494244544,PIPE_M,0,0.03825248132357665,widest,3
069,3,25144,14021,5740,0.5906140788816775,1.4426829268292685,PIPE_M,0,0.025871777699304706,widest,4
005,3,95618,47601,21416,0.5500934854309784,1.2226839745984313,PIPE_M,0,0.024560533661719876,widest,5
044,3,154407,64624,24846,0.6155298341173558,1.6009820494244544,PIPE_M,0,0.03825248132357665,largest_mean_cap_contribution,1
095,3,2084853,695775,356664,0.4873860084078905,0.9507856133503803,PIPE_M,0,0.028489788198058,largest_mean_cap_contribution,2
071,3,18919,12080,4360,0.6390728476821192,1.7706422018348622,PIPE_M,0,0.02773077799380278,largest_mean_cap_contribution,3
069,3,25144,14021,5740,0.5906140788816775,1.4426829268292685,PIPE_M,0,0.025871777699304706,largest_mean_cap_contribution,4
065,3,53068,18135,9840,0.4574028122415219,0.8429878048780488,PIPE_V,0,0.024668142723610863,largest_mean_cap_contribution,5
021,4,6567937,1550324,1548816,0.0009726999001499204,0.0009736469664569647,PIPE_M,0,4.1248486999680975e-05,closest,1
027,4,2363952,559196,557688,0.0026967288750276985,0.0027040208862303405,PIPE_M,0,0.00011431010919330298,closest,2
036,4,931510,233584,232952,0.002705664771559646,0.002713005254301404,PIPE_M,0,0.00010819197909249567,closest,3
059,4,829473,185216,184524,0.0037361782999308923,0.0037501896772236254,PIPE_M,0,0.0001679488317497224,closest,4
020,4,532746,133704,133152,0.004128522706874915,0.004145638067772239,PIPE_V,0,0.0001651836966772402,closest,5
071,4,18919,12078,3417,0.7170889220069547,2.5346795434591747,PIPE_V,0,0.039703264019460276,widest,1
044,4,154407,64624,18645,0.711484897251795,2.4660230624832393,PIPE_M,0,0.05892102361488758,widest,2
064,4,19116,12982,4074,0.6861808658142043,2.1865488463426606,PIPE_V,0,0.03219694018385943,widest,3
069,4,25144,13107,4376,0.6661326009002824,1.995201096892139,PIPE_V,0,0.03827522421626302,widest,4
005,4,95618,42167,16115,0.617829108070292,1.6166304685076014,PIPE_M,0,0.03665875498322382,widest,5
044,4,154407,64624,18645,0.711484897251795,2.4660230624832393,PIPE_M,0,0.05892102361488758,largest_mean_cap_contribution,1
071,4,18919,12078,3417,0.7170889220069547,2.5346795434591747,PIPE_V,0,0.039703264019460276,largest_mean_cap_contribution,2
069,4,25144,13107,4376,0.6661326009002824,1.995201096892139,PIPE_V,0,0.03827522421626302,largest_mean_cap_contribution,3
095,4,2084853,524422,267498,0.4899184244749457,0.9604707324914579,PIPE_M,0,0.03818375827190724,largest_mean_cap_contribution,4
