cores,platform,workers,timing_scope,n,median,p95,max
1,macOS-27.0-arm64-arm-64bit,1,"Outer child start through exit includes graph read, candidate construction, online native E2, plan/evidence writes and cleanup.",100,1.1799094790185336,10.40479207533062,21.470708457985893
2,macOS-27.0-arm64-arm-64bit,1,"Outer child start through exit includes graph read, candidate construction, online native E2, plan/evidence writes and cleanup.",100,1.5558670415193774,15.83298062531684,31.093971457972657
3,macOS-27.0-arm64-arm-64bit,1,"Outer child start through exit includes graph read, candidate construction, online native E2, plan/evidence writes and cleanup.",100,1.5701713754970115,18.870347503881202,32.21939779102104
4,macOS-27.0-arm64-arm-64bit,1,"Outer child start through exit includes graph read, candidate construction, online native E2, plan/evidence writes and cleanup.",100,1.61935331299901,18.576591843448103,35.12771845795214
5,macOS-27.0-arm64-arm-64bit,1,"Outer child start through exit includes graph read, candidate construction, online native E2, plan/evidence writes and cleanup.",100,1.6642645620449912,20.87761862119368,40.18650579202222
