cores,platform,workers,timing_scope,n,median,p95,max
1,macOS-27.0-arm64-arm-64bit,1,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",100,0.9890228124859277,18.895670529513147,51.3352958339965
2,macOS-27.0-arm64-arm-64bit,1,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",100,1.6422443545015994,20.08376621185161,39.541483250039164
3,macOS-27.0-arm64-arm-64bit,1,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",100,1.7416529165348038,17.603453800032725,35.3541345000267
4,macOS-27.0-arm64-arm-64bit,1,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",100,1.9145300624950323,19.084769908644372,38.508998042030726
5,macOS-27.0-arm64-arm-64bit,1,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",100,2.1759940209740307,20.88737267702817,41.35545016702963
