case,cores,status,base_selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops,oversized_tasks_processed,oversized_task_splits,indivisible_oversize_count
089,4,ok,component-pack,178160,0.07710729201789945,0.7303212909901049,1282560,716160,0,693092,667699,3.8902784014369107,3.7477492141894926,nikolastarx-20260924T1439Z-boundedfull4-99-P1-089-k4-r0,20260924T1439Z-boundedfull4-99,False,5120,40,128,4,enough independent components or one core,,,0,0,0
090,4,ok,component-pack,608275,0.07696174999000505,0.23979283298831433,23620488,21392136,14946696,1178363,989503,1.9372208293945994,1.6267362623813242,nikolastarx-20260924T1439Z-boundedfull4-99-P1-090-k4-r0,20260924T1439Z-boundedfull4-99,False,1664,13,128,4,enough independent components or one core,,,0,0,0
091,4,ok,component-pack,2293515,0.6788046660076361,22.314297207980417,87176856,80599200,762528,9186769,5285730,4.005541276163443,2.3046415654573873,nikolastarx-20260924T1439Z-boundedfull4-99-P1-091-k4-r0,20260924T1439Z-boundedfull4-99,False,31554,513,147,32,enough independent components or one core,,,4,4,0
092,4,ok,component-pack,2050614,0.3396999999822583,2.7709635839855764,76076160,72819232,55141632,4815554,4117535,2.3483473730307116,2.007952252349784,nikolastarx-20260924T1439Z-boundedfull4-99-P1-092-k4-r0,20260924T1439Z-boundedfull4-99,False,17608,142,124,20,enough independent components or one core,,,4,4,0
093,4,ok,component-pack,19779,0.03940483400947414,0.1303117089846637,739328,24576,0,74205,84508,3.751706355225239,4.272612366651499,nikolastarx-20260924T1439Z-boundedfull4-99-P1-093-k4-r0,20260924T1439Z-boundedfull4-99,False,552,69,8,4,enough independent components or one core,,,0,0,0
094,4,ok,component-pack,29962,0.03886712499661371,0.12812858397956006,845508,318816,0,94892,100704,3.16707829917896,3.3610573392964422,nikolastarx-20260924T1439Z-boundedfull4-99-P1-094-k4-r0,20260924T1439Z-boundedfull4-99,False,647,40,44,4,enough independent components or one core,,,0,0,0
095,4,ok,component-pack,524422,0.13259204098721966,0.8870765830215532,11355036,0,0,2084853,2022317,3.9755254356224565,3.856277959353345,nikolastarx-20260924T1439Z-boundedfull4-99-P1-095-k4-r0,20260924T1439Z-boundedfull4-99,False,3696,462,8,4,enough independent components or one core,,,0,0,0
096,4,ok,component-pack,26984,0.07075533401803114,0.18196800001896918,297894,78336,0,84194,82054,3.120145271271865,3.040839015713015,nikolastarx-20260924T1439Z-boundedfull4-99-P1-096-k4-r0,20260924T1439Z-boundedfull4-99,False,1198,50,397,4,enough independent components or one core,,,0,0,0
097,4,ok,component-pack,2626908,0.12817645800532773,2.089276249986142,19267584,14221312,6553600,11491509,5532446,4.37453805005733,2.1060676658642024,nikolastarx-20260924T1439Z-boundedfull4-99-P1-097-k4-r0,20260924T1439Z-boundedfull4-99,False,6592,64,103,4,enough independent components or one core,,,0,0,0
098,4,ok,component-pack,89894,0.07738041700213216,0.23731037499965169,697994,0,0,177430,188015,1.973769105835762,2.0915189000378223,nikolastarx-20260924T1439Z-boundedfull4-99-P1-098-k4-r0,20260924T1439Z-boundedfull4-99,False,1365,27,389,4,enough independent components or one core,,,0,0,0
099,4,ok,component-pack,405655,0.13100179101456888,4.820808457996463,12298900,9764864,4112384,1622999,1225097,4.000934291454561,3.02004659131528,nikolastarx-20260924T1439Z-boundedfull4-99-P1-099-k4-r0,20260924T1439Z-boundedfull4-99,False,6296,202,117,4,enough independent components or one core,,,0,0,0
100,4,ok,component-pack,58086,0.04076170801999979,0.23977358301635832,598982,144384,0,151223,152874,2.603432840959956,2.6318562132011154,nikolastarx-20260924T1439Z-boundedfull4-99-P1-100-k4-r0,20260924T1439Z-boundedfull4-99,False,1394,43,275,4,enough independent components or one core,,,0,0,0
