case,cores,status,base_selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops,oversized_tasks_processed,oversized_task_splits,indivisible_oversize_count
021,4,ok,component-pack,1550324,0.07674437499372289,0.714132166991476,7946240,4608000,0,6567937,4782086,4.236493145948847,3.084571999143405,nikolastarx-20260924T1439Z-boundedfull4-99-P1-021-k4-r0,20260924T1439Z-boundedfull4-99,False,3920,80,49,4,enough independent components or one core,,,0,0,0
022,4,ok,component-pack,14654,0.04100766699411906,0.23811799997929484,227510,13824,0,56780,62791,3.874709976798144,4.284905145352805,nikolastarx-20260924T1439Z-boundedfull4-99-P1-022-k4-r0,20260924T1439Z-boundedfull4-99,False,1356,32,183,4,enough independent components or one core,,,0,0,0
023,4,ok,component-pack,31518,0.04039020900381729,0.18795387499267235,724724,281280,0,122614,111417,3.890284916555619,3.5350276032743193,nikolastarx-20260924T1439Z-boundedfull4-99-P1-023-k4-r0,20260924T1439Z-boundedfull4-99,False,1011,43,127,4,enough independent components or one core,,,0,0,0
024,4,ok,component-pack,2555343,0.1825650829996448,2.8407236249768175,393218,0,0,2555343,2666212,1.0,1.043387130416543,nikolastarx-20260924T1439Z-boundedfull4-99-P1-024-k4-r0,20260924T1439Z-boundedfull4-99,False,5959,1,5959,1,not an in-tree forest,,,1,0,1
025,4,ok,component-pack,1221396,0.5058151669800282,3.825026375008747,8742912,525312,0,4863026,3456900,3.9815309694808234,2.830286000609139,nikolastarx-20260924T1439Z-boundedfull4-99-P1-025-k4-r0,20260924T1439Z-boundedfull4-99,False,18662,2666,7,20,enough independent components or one core,,,4,4,0
026,4,ok,component-pack,42226,0.0779908330005128,0.18101341699366458,699686,170832,0,99203,106263,2.3493345332259743,2.5165300999384264,nikolastarx-20260924T1439Z-boundedfull4-99-P1-026-k4-r0,20260924T1439Z-boundedfull4-99,False,636,31,198,4,enough independent components or one core,,,0,0,0
027,4,ok,component-pack,559196,0.07584224999300204,0.29277454101247713,5357568,3317760,0,2363952,1123538,4.227412213249022,2.0092024978719447,nikolastarx-20260924T1439Z-boundedfull4-99-P1-027-k4-r0,20260924T1439Z-boundedfull4-99,False,1424,16,89,4,enough independent components or one core,,,0,0,0
028,4,ok,component-pack,13736020,0.3954630000225734,4.6528720000060275,286581600,280672992,239851872,43836040,40047633,3.1913203387880915,2.9155194153765063,nikolastarx-20260924T1439Z-boundedfull4-99-P1-028-k4-r0,20260924T1439Z-boundedfull4-99,False,19584,153,128,20,enough independent components or one core,,,4,4,0
029,4,ok,component-pack,11028,0.040943500003777444,0.12898666600813158,430164,0,0,37555,39323,3.405422560754443,3.5657417482771128,nikolastarx-20260924T1439Z-boundedfull4-99-P1-029-k4-r0,20260924T1439Z-boundedfull4-99,False,861,21,41,4,enough independent components or one core,,,0,0,0
030,4,ok,component-pack,700342,0.18127608401118778,14.533784999977797,12798924,10404864,4585472,2808034,2204660,4.009518206818954,3.1479762744487694,nikolastarx-20260924T1439Z-boundedfull4-99-P1-030-k4-r0,20260924T1439Z-boundedfull4-99,False,10070,486,57,4,enough independent components or one core,,,0,0,0
