case_id,cores,graph_sha256,current_solver_commit,current_plan_sha256,baseline_B,published_global_lower_L,current_official_M3_U,current_B_over_U,relaxed_B_over_L,max_cycle_reduction_U_minus_L,max_fraction_of_U_reduction,certified_ratio_if_L_valid,max_mean_speedup_contribution,old_bound_baseline_sha,current_feed_baseline_sha
003,2,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,6a7be6758790ed864eb2c89af8bd6157266406827ef73b15a0129c3bc9a2cd2a,602212,219396,229045,2.6292300639612303,2.7448631697934327,9649,0.04212709292933703,1.043979835548506,0.0011563310583220243,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,3,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,8a74bfa997261732bb465c7f2da5bd3c18d553ba1bffe6063f77a124fb7fb6ce,602212,146264,169168,3.559845833727419,4.11729475469015,22904,0.1353920363189256,1.1565935568560959,0.005574489209627309,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,4,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,9f78fe5e0c91ba2abde4a8890e3ac12da6ef63460e6163a2f8393b8c58edb1a9,602212,109698,139553,4.315292397870343,5.489726339586865,29855,0.21393305769134308,1.2721562836150158,0.011744339417165222,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
003,5,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,323c5662d39e4e39302581e865777e34ef05d0db6d24e9940da25395071cb817,602212,87759,124094,4.852869598852482,6.862111008557527,36335,0.2928022305671507,1.4140316092936338,0.020092414097050443,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
004,1,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,eb27a399dec0766476b103eb6876baffe355f1ab097190aa5da4b029333ae08a,392357,385614,386363,1.01551390790526,1.0174863983154139,749,0.0019385914282682437,1.0019423568646366,1.9724904101539043e-05,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,2,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,0ec4441451ac4646159c1ecbec72cb691d540ed4197581569cfc82c6bfd50108,392357,192807,195960,2.0022300469483567,2.0349727966308278,3153,0.016090018371096138,1.0163531407054722,0.0003274274968247104,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,3,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,d59b656b67aff612ad74c1b76303d62f14de9da1e7be1862c5d36b13b29fbdcd,392357,128538,130725,3.001392235609103,3.0524591949462416,2187,0.01672977624784855,1.017014423750175,0.0005106695933713867,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,4,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,e498c28206ba10ec3061329d40d0d62baeb3a30220d714c1d801c2bf49708d46,392357,96404,100126,3.9186325230209937,4.069924484461225,3722,0.037173161816111744,1.0386083564997304,0.001512919614402315,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
004,5,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,51d2dfb1a4c0864659d527d8b5262312f3f7fa28b3cb0dd2c6a08d518767e4de,392357,77123,83440,4.702265100671141,5.087418798542588,6317,0.07570709491850436,1.0819081207940562,0.003851536978714467,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
005,1,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,4ead7f814b76f0ecb77bf1597e5d210058aa61267f2a2c309b5988bdcd259c7b,95618,63882,73504,1.300854375272094,1.4967909583294199,9622,0.13090444057466255,1.150621458313766,0.001959365830573259,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
